prog_no;Cycle;Prog Type;Obs #;Label;Obs type;Target;TOI;RA (deg);Dec (deg);Gmag;Kmag;Teff (K);Planet;Period (d);Radius (Re);Radius (RJ);Teq (K);;;
2084;1;GO;1;Even occultation;eclipse;55 Cnc;1773;133.1457057;28.32933756;5.72973;4.015;5172;55 Cnc e;0.7365474;1.875;0.167;1946;;;
2084;1;GO;2;Odd occultation;transit;55 Cnc;1773;133.1457047;28.32933717;5.72973;4.015;5172;55 Cnc e;0.7365474;1.875;0.167;1946;;;
2084;1;GO;3;Even occultation;eclipse;55 Cnc;1773;133.1457038;28.32933678;5.72973;4.015;5172;55 Cnc e;0.7365474;1.875;0.167;1946;;;
2084;1;GO;5;Repeat Obs 4 - Odd occultation;transit;55 Cnc;1773;133.1456398;28.32930969;5.72973;4.015;5172;55 Cnc e;0.7365474;1.875;0.167;1946;;;
2113;1;GO;5;WASP-63 transit;transit;WASP-63;483;94.33630545;-38.32344481;10.9185;9.393;5550;WASP-63 b;4.37808;15.805;1.41;1523;;;
2149;1;GO;2;V1298 Tau b;transit;V1298 Tau;;61.33166595;20.15699654;10.0702;8.094;5050;V1298 Tau b;24.1396;10.27;0.916;686;;;
2158;1;GO;1;NGTS-10;eclipse;NGTS-10;;91.87225497;-25.59488697;14.2604;11.728;4600;NGTS-10 b;0.7668944;13.507;1.205;1552;;;
2159;1;GO;1;K2-141 phase curve;phase;K2-141;;350.9173052;-1.189127967;10.7217;8.401;4570;K2-141 b;0.2803244;1.51;0.135;2103;;;
2304;1;GO;1;;eclipse;TRAPPIST-1;;346.6282926;-5.044436089;15.6451;10.296;2566;TRAPPIST-1 c;2.421937;1.097;0.098;341;;;
2304;1;GO;2;;eclipse;TRAPPIST-1;;346.6283167;-5.04444845;15.6451;10.296;2566;TRAPPIST-1 c;2.421937;1.097;0.098;341;;;
2304;1;GO;3;;eclipse;TRAPPIST-1;;346.6282943;-5.04443697;15.6451;10.296;2566;TRAPPIST-1 c;2.421937;1.097;0.098;341;;;
2304;1;GO;4;;eclipse;TRAPPIST-1;;346.6282995;-5.044439619;15.6451;10.296;2566;TRAPPIST-1 c;2.421937;1.097;0.098;341;;;
2319;1;GO;1;TOI-178d;transit;TOI-178;178;7.302402934;-30.45431292;11.1523;8.656;4316;TOI-178 d;6.5577;2.572;0.229;690;;;
2319;1;GO;3;TOI-178b;transit;TOI-178;178;7.302399714;-30.45431131;11.1523;8.656;4316;TOI-178 b;1.914558;1.152;0.103;1039;;;
2319;1;GO;102;TOI-178g;transit;TOI-178;178;7.302415663;-30.45431931;11.1523;8.656;4316;TOI-178 g;20.7095;2.87;0.256;470;;;
2334;1;GO;1;;transit;LHS 1140;256;11.24937074;-15.27544696;12.6706;8.821;2988;LHS 1140 b;24.73694;1.635;0.146;213;;;
2334;1;GO;2;;transit;LHS 1140;256;11.24936455;-15.27543574;12.6706;8.821;2988;LHS 1140 b;24.73694;1.635;0.146;213;;;
2347;1;GO;1;K2-141b (ph1);phase;K2-141;;350.9173023;-1.189127448;10.7217;8.401;4570;K2-141 b;0.2803244;1.51;0.135;2103;;;
2358;1;GO;30;Clone of Obs 3;transit;WD 1856+534;1690;284.4165544;53.50890998;16.958;15.548;4710;WD 1856+534 b;1.4079405;10.4;0.928;159;;;
2372;1;GO;1;K2-18 b G235H;transit;K2-18;5555;172.5599483;7.587514455;12.4154;8.899;3457;K2-18 b;32.939623;2.37;0.211;282;;;
2372;1;GO;2;K2-18 b G235H;transit;K2-18;5555;172.5601408;7.587830556;12.4154;8.899;3457;K2-18 b;32.939623;2.37;0.211;282;;;
2372;1;GO;4;K2-18 b G395H;transit;K2-18;5555;172.5601408;7.587830556;12.4154;8.899;3457;K2-18 b;32.939623;2.37;0.211;282;;;
2372;1;GO;5;K2-18 b G395H;transit;K2-18;5555;172.5601408;7.587830556;12.4154;8.899;3457;K2-18 b;32.939623;2.37;0.211;282;;;
2372;1;GO;6;K2-18 b G395H;transit;K2-18;5555;172.5601408;7.587830556;12.4154;8.899;3457;K2-18 b;32.939623;2.37;0.211;282;;;
2372;1;GO;7;K2-18 b G395H - Repeat of observation 3;transit;K2-18;5555;172.5601408;7.587830556;12.4154;8.899;3457;K2-18 b;32.939623;2.37;0.211;282;;;
2420;1;GO;1;Transit 1;transit;TRAPPIST-1;;346.628216;-5.044396806;15.6451;10.296;2566;TRAPPIST-1 c;2.421937;1.097;0.098;341;;;
2420;1;GO;3;Transit 3;transit;TRAPPIST-1;;346.6285534;-5.044569857;15.6451;10.296;2566;TRAPPIST-1 c;2.421937;1.097;0.098;341;;;
